Leaf,Date
18,1939.4952871577386
98,1942.2843979595948
700,1943.3446049996508
1060,1945.2500146376196
2369,1945.6788241934833
1240,1945.240276975083
1142,1944.789064016896
687,1945.4792363746249
1575,1945.0842660789988
686,1943.5366466506073
1839,1944.723425678055
2350,1944.8928841897612
1736,1945.7718213179414
1251,1945.6098342802322
988,1943.8712002090626
1109,1945.080192643944
805,1944.5657689749282
4463,1945.9119368034385
852,1945.2839934653832
957,1945.5321552789032
1651,1945.6527775974928
13,1940.1677957158865
34,1941.6523913738574
390,1945.0279267780293
1519,1944.7790561697323
2689,1945.5017070289257
400,1943.587920548315
3642,1945.4100813189023
2428,1945.5580905503878
265,1943.458934330023
897,1943.879484328259
151,1943.3842080689749
3474,1945.779925539244
1402,1945.8550776825023
2331,1945.7257650312736
2406,1944.9110540163936
2040,1945.1569110390358
350,1942.945652951262
159,1942.0049825586468
486,1943.0772988645604
598,1943.1188048498655
577,1944.5866534906413
192,1945.3194732854054
3123,1945.5327476009902
495,1943.1963777336869
869,1944.4691707273716
3062,1945.5222250326565
1614,1945.882560829017
653,1945.101713313185
4022,1945.6504818662781
951,1944.3553588611255
90,1942.0311913701494
258,1942.1893495278894
905,1944.207059952722
1936,1944.6356475273967
2846,1945.1651444245365
925,1945.0885417720453
3695,1945.3959467031802
470,1945.882588864374
3547,1945.8337311451671
1324,1944.5372215339464
3848,1945.4280250438233
2385,1945.8414148042746
3964,1945.4795767016462
990,1944.7569562270535
1843,1945.238250488504
4507,1945.7179134201278
289,1945.3492366894654
297,1942.6539870002593
4189,1945.929338025944
21,1942.2969617954489
5191,1945.8316653079085
674,1944.9162469592493
912,1945.8983103633134
416,1942.8043739119116
993,1943.7793063296133
528,1943.425298510088
3023,1945.4418602850155
172,1944.8300506071653
883,1943.785318800928
2512,1945.2765950551156
2527,1945.9154376554748
670,1945.3076138551214
1696,1944.79507410816
415,1944.861343880366
1841,1945.2840909932365
1560,1944.4716494106342
1030,1945.9369222760713
3253,1945.394370868757
5425,1945.9181888788373
1296,1945.8838984743034
1838,1944.7985749199158
3728,1945.8158696803584
389,1944.5220420131768
1460,1945.5626715430947
1672,1944.7356018819964
2045,1945.440866097184
1337,1945.658594081047
1388,1944.5153885005718
2055,1945.3849984558472
1029,1945.68900860471
566,1943.056020195523
1988,1944.9721211334177
2006,1945.8563023450856
77,1945.5991114704473
770,1943.5497282508154
2476,1945.4343538570872
3569,1945.7130070664368
3574,1945.727160626514
4836,1945.7279302483023
422,1943.7715356117712
929,1944.1588081988648
478,1944.470749833246
854,1945.1493628815754
582,1943.5238073408534
1631,1944.4372362349006
1818,1945.7841266440635
2559,1945.936846181327
1829,1944.4644339856582
3448,1945.939881771354
914,1945.065016759013
2044,1944.6321974924058
2321,1945.1427590738608
2793,1945.821954466844
3677,1945.702156397518
468,1944.3990165745672
1434,1945.4689720766667
1995,1945.4223485599327
1409,1945.4828779588438
624,1943.733198913035
3465,1945.701665863847
578,1943.7490429410514
818,1945.5374110644586
1334,1944.1694182038427
746,1945.119526831353
1973,1944.9652135761976
2413,1945.380998896251
1091,1943.9112661347422
2587,1945.698239057232
961,1944.0280499810915
1327,1944.831188340705
4651,1945.7313818689329
1092,1944.8842171891731
1193,1945.1696481654792
3750,1945.688839617648
1724,1945.7543713374039
17,1940.1814027894618
887,1943.7720770755695
2355,1944.8393408498725
2134,1945.1287584136192
5965,1945.9119204906729
35,1941.130356266163
405,1944.0552705035238
2474,1945.7413991187502
2304,1944.8276071974094
1485,1945.3985789119772
185,1942.028877832281
441,1942.8664788933074
277,1943.9133078161444
91,1942.1824552273845
141,1943.9974644925635
131,1945.327839282763
728,1944.374510197917
1446,1945.0800318000918
230,1942.0506853109205
1658,1945.3445987163102
3128,1945.6942533593794
5196,1945.9040296033231
225,1942.365501796666
943,1943.8825581638373
1595,1945.2495172586523
37,1941.2586852375607
342,1943.6654149633
1170,1944.25998106637
3204,1945.2085907462795
1824,1944.9424109881713
1037,1944.2626707813738
1221,1945.2840545038393
2827,1945.7657137363199
397,1944.3275725791732
2595,1945.826870183533
4485,1945.8919384753838
366,1942.6950475086387
226,1943.0499891847478
2881,1945.4227087179522
491,1943.200575289237
1603,1945.1342442388489
2277,1945.325272906694
3461,1945.3432709703707
1803,1945.4519425100086
1502,1944.4265849084964
